국가,도시,CityId
아프가니스탄,헤라트,1183
아프가니스탄,카불,219
알제리,알제,242
알제리,안나바,1434
알제리,베샤르,1435
알제리,비스크라,1436
알제리,콩스탕틴,1359
알제리,자네트,1437
알제리,델파,1438
알제리,가르다이아,1360
알제리,오랑,1361
알제리,세티프,1439
알제리,타만라세트,1362
알제리,틀렘센,1440
앙골라,루안다,261
앤티가바부다,"세인트 존스, 앤티가",151
아르헨티나,바릴로체,858
아르헨티나,부에노스아이레스,294
아르헨티나,코르도바,855
아르헨티나,엘 칼라파테,2205
아르헨티나,이구아수,857
아르헨티나,마르델 플라타,2206
아르헨티나,멘도사,856
아르헨티나,살타,2207
아르헨티나,트렐레우,2208
아르헨티나,우수아이아,859
아르메니아,딜리잔,2079
아르메니아,제르마크,2080
아르메니아,카판,69
아르메니아,세반,68
아르메니아,바나조르,67
아르메니아,예레반,66
오스트레일리아,애들레이드,315
오스트레일리아,어드벤처 베이,1801
오스트레일리아,올버니,356
오스트레일리아,앨비언공원,1649
오스트레일리아,앨 버리,1802
오스트레일리아,얼브리 / 오동다,317
오스트레일리아,앨리스스프링스,323
오스트레일리아,알양굴라,357
오스트레일리아,아라랏,1650
오스트레일리아,아가일,1256
오스트레일리아,아미데일,358
오스트레일리아,오거스타,359
오스트레일리아,아발론,1651
오스트레일리아,올드 홈 힐,360
오스트레일리아,베언즈데일,361
오스트레일리아,밸러랫,362
오스트레일리아,발리나,1652
오스트레일리아,뱃츠먼스 베이,363
오스트레일리아,배서스트,364
오스트레일리아,비치워쓰,1653
오스트레일리아,베가,365
오스트레일리아,벨레이브,1654
오스트레일리아,벤로 몬드,1803
오스트레일리아,베넬라,1655
오스트레일리아,벤디고,366
오스트레일리아,비체 노,1804
오스트레일리아,본디,1656
오스트레일리아,바롤룰라,368
오스트레일리아,보스웰,1657
오스트레일리아,보크,369
오스트레일리아,보웬,370
오스트레일리아,보우럴,371
오스트레일리아,브리지타운,372
오스트레일리아,브리드포트,1658
오스트레일리아,브리즈번,320
오스트레일리아,브리즈번 공항,2068
오스트레일리아,브리즈번 베이사이드,1192
오스트레일리아,브로컨힐,373
오스트레일리아,브룸,374
오스트레일리아,번버리,375
오스트레일리아,번더버그,376
오스트레일리아,버셀턴,377
오스트레일리아,카브래머라,1159
오스트레일리아,케언스,299
오스트레일리아,캠벨 타운 뉴사우스웨일스,1660
오스트레일리아,캠벨 타운 태즈메이니아,1659
오스트레일리아,캔버라,302
오스트레일리아,캔터베리,1805
오스트레일리아,케이프 바이런,378
오스트레일리아,케이프 오트웨이,1661
오스트레일리아,카나본,379
오스트레일리아,캐스터턴,1662
오스트레일리아,캐슬마인,1663
오스트레일리아,시두나,380
오스트레일리아,세베루스,1664
오스트레일리아,세스 녹,1806
오스트레일리아,샤르빌,381
오스트레일리아,차터스 타워스,382
오스트레일리아,크리스마스 섬,681
오스트레일리아,클레어,383
오스트레일리아,클레르몽,384
오스트레일리아,코바,385
오스트레일리아,코코스섬,683
오스트레일리아,콥스 하버,386
오스트레일리아,콜락,387
오스트레일리아,콜스 베이,1807
오스트레일리아,콜리,388
오스트레일리아,컴비엔바,1665
오스트레일리아,쿠버페디,389
오스트레일리아,쿠마,390
오스트레일리아,쿠나와라,391
오스트레일리아,코령,1666
오스트레일리아,크래들 밸리,1667
오스트레일리아,크랜버른,1668
오스트레일리아,크레시,1669
오스트레일리아,커리,1670
오스트레일리아,백조의 새끼,1808
오스트레일리아,달비,392
오스트레일리아,달월리누,684
오스트레일리아,다트머스 ,1671
오스트레일리아,다윈,322
오스트레일리아,다윈루럴,1086
오스트레일리아,델로레인,1672
오스트레일리아,덴햄,1218
오스트레일리아,데닐리퀸,393
오스트레일리아,더비,367
오스트레일리아,데번포트,394
오스트레일리아,도버,1809
오스트레일리아,더보,395
오스트레일리아,에추카,396
오스트레일리아,엘리자베스,397
오스트레일리아,에메랄드,398
오스트레일리아,에스페란스,399
오스트레일리아,유클라,400
오스트레일리아,에반 데일 (Evandale),1810
오스트레일리아,엑스마우스,401
오스트레일리아,폴리크리크,1673
오스트레일리아,핑갈,1811
오스트레일리아,피츠로이크로싱,1214
오스트레일리아,포스터,1320
오스트레일리아,프랭스 톤,1812
오스트레일리아,가보 섬,1674
오스트레일리아,절롱,402
오스트레일리아,기브스톤,1813
오스트레일리아,조지 타운,1675
오스트레일리아,제럴턴,403
오스트레일리아,글래드스톤,404
오스트레일리아,글렌이네스,1319
오스트레일리아,글레넬그,1676
오스트레일리아,글레노키,1677
오스트레일리아,골드코스트,405
오스트레일리아,군두윈디,406
오스트레일리아,고스퍼드,407
오스트레일리아,골번,408
오스트레일리아,그래프턴,409
오스트레일리아,그리피스,410
오스트레일리아,짐피,411
오스트레일리아,홀스 크리크,412
오스트레일리아,해밀턴,413
오스트레일리아,헤이,1678
오스트레일리아,허비 베이,414
오스트레일리아,헤이우드,1679
오스트레일리아,호바트,316
오스트레일리아,호르섬,415
오스트레일리아,후온빌,1680
오스트레일리아,잉엄,416
오스트레일리아,이니스페일,417
오스트레일리아,인버렐,418
오스트레일리아,입스위치,419
오스트레일리아,아이반호,1318
오스트레일리아,자비루,420
오스트레일리아,진다바인,1681
오스트레일리아,칼바리,421
오스트레일리아,칼굴리,422
오스트레일리아,칼룸부루,1215
오스트레일리아,카라타,423
오스트레일리아,카탄밍,424
오스트레일리아,케서린,425
오스트레일리아,카툼바,426
오스트레일리아,키스,427
오스트레일리아,캠지,428
오스트레일리아,케랑,1682
오스트레일리아,킬모어,1683
오스트레일리아,킨가로이,429
오스트레일리아,킹스코트,430
오스트레일리아,킹스턴,1684
오스트레일리아,쿠누누라,431
오스트레일리아,커넬,515
오스트레일리아,카아브람,1685
오스트레일리아,키얀쿠타,432
오스트레일리아,라자마누,1686
오스트레일리아,에일든호,1687
오스트레일리아,레이크 그레이스,433
오스트레일리아,세인트클레어호,1688
오스트레일리아,엔트런스호수,1689
오스트레일리아,라트 로브,1814
오스트레일리아,라트로브 계곡,434
오스트레일리아,론서스턴,435
오스트레일리아,래버튼,1257
오스트레일리아,래버턴 호주 서부,436
오스트레일리아,리 크릭,437
오스트레일리아,렌스터,438
오스트레일리아,레오노라,1259
오스트레일리아,리아웨니,1815
오스트레일리아,리스모어,439
오스트레일리아,리스고,687
오스트레일리아,리버풀,440
오스트레일리아,롱어에농,1690
오스트레일리아,롱리치,441
오스트레일리아,로드하우 섬,442
오스트레일리아,매카이,443
오스트레일리아,메이틀랜드,445
오스트레일리아,메이틀랜드 세스녹,444
오스트레일리아,말라코오타 ,1691
오스트레일리아,맨두라,446
오스트레일리아,매닝그리다,1692
오스트레일리아,만지멉,447
오스트레일리아,마블바,1251
오스트레일리아,마리바,448
오스트레일리아,마가렛 리버,449
오스트레일리아,마라와,1816
오스트레일리아,메리버러,450
오스트레일리아,메리버러 빅토리아,1694
오스트레일리아,메이데나,1817
오스트레일리아,메카타라,451
오스트레일리아,멜랄레우카,1695
오스트레일리아,멜버른,301
오스트레일리아,메림불라,1317
오스트레일리아,메럴우드,452
오스트레일리아,밀두라,453
오스트레일리아,무라,454
오스트레일리아,무라빈,1696
오스트레일리아,모란바,455
오스트레일리아,모라와,456
오스트레일리아,모리,457
오스트레일리아,모닝턴,1697
오스트레일리아,모닝턴 페닌슐라,458
오스트레일리아,모트레이크,1698
오스트레일리아,마운트 바커,1699
오스트레일리아,보보산,1700
오스트레일리아,불러산,1701
오스트레일리아,단데농산,1702
오스트레일리아,마운트 필드,1818
오스트레일리아,마운트갬비어,1703
오스트레일리아,호섬산,1704
오스트레일리아,마운트 아이자,1705
오스트레일리아,마운트 무어나파,1706
오스트레일리아,노와 노와산,1707
오스트레일리아,마운트 웰링턴,1708
오스트레일리아,모브레이,1709
오스트레일리아,머지,464
오스트레일리아,머리 브리지,465
오스트레일리아,나라쿠르테,466
오스트레일리아,나라브리,1316
오스트레일리아,내로진,467
오스트레일리아,뉴노퍽,1710
오스트레일리아,뉴캐슬,319
오스트레일리아,뉴먼,468
오스트레일리아,느힐,1711
오스트레일리아,눌런부이,469
오스트레일리아,놀룽가,470
오스트레일리아,노퍽 아일랜드,471
오스트레일리아,노먼턴,1712
오스트레일리아,노스만,1252
오스트레일리아,노샘,472
오스트레일리아,나우라,473
오스트레일리아,누리우트파,474
오스트레일리아,오트랜즈,1713
오스트레일리아,온슬로,1216
오스트레일리아,오렌지,475
오스트레일리아,오보스트,476
오스트레일리아,오르포드,1714
오스트레일리아,여러개,1819
오스트레일리아,아우엔,1715
오스트레일리아,파라버두,477
오스트레일리아,파크스,478
오스트레일리아,파라마타,1313
오스트레일리아,펭귄 새,1820
오스트레일리아,펜리스,1160
오스트레일리아,페리셔 밸리,1161
오스트레일리아,퍼스,314
오스트레일리아,필립 아일랜드,1716
오스트레일리아,피란짐피,1717
오스트레일리아,포인트 힉스,1718
오스트레일리아,포트아서,1719
오스트레일리아,포트오거스타,479
오스트레일리아,포트헤들랜드,480
오스트레일리아,포트링컨,481
오스트레일리아,포트맥쿼리,482
오스트레일리아,포트피리,483
오스트레일리아,포틀랜드,1720
오스트레일리아,프로스펙트,1721
오스트레일리아,퀸스타운,1722
오스트레일리아,레븐스쏘프,484
오스트레일리아,레더스데일,1723
오스트레일리아,렌마크,485
오스트레일리아,릴,1724
오스트레일리아,리치몬드 뉴사우스웨일스,1725
오스트레일리아,리치몬드 태즈메이니아,1726
오스트레일리아,로브,1253
오스트레일리아,록햄프턴,487
오스트레일리아,로번,1210
오스트레일리아,로마,488
오스트레일리아,로즈버리,1727
오스트레일리아,로즈,1728
오스트레일리아,록스비 다운,489
오스트레일리아,루터글렌,1729
오스트레일리아,세일,490
오스트레일리아,스쿤,491
오스트레일리아,스코어즈비,1193
오스트레일리아,스콧츠데일,1730
오스트레일리아,시모어,492
오스트레일리아,셰필드,1821
오스트레일리아,쉬오크,1731
오스트레일리아,쉐파폰,493
오스트레일리아,싱글톤,1322
오스트레일리아,스미스턴,1732
오스트레일리아,소렐,1822
오스트레일리아,스프링우드,1315
오스트레일리아,세인트헬렌스,494
오스트레일리아,세인트 메리 스,1823
오스트레일리아,스트라한 타운,495
오스트레일리아,스트라스보기,1733
오스트레일리아,스트래스고든,1824
오스트레일리아,선샤인 코스트,496
오스트레일리아,스완힐,498
오스트레일리아,스완지,497
오스트레일리아,시드니,300
오스트레일리아,탬워스,499
오스트레일리아,타리,500
오스트레일리아,타랄레아,1734
오스트레일리아,타투라,1735
오스트레일리아,티넌트크리크,501
오스트레일리아,테리힐즈,1314
오스트레일리아,코너,1825
오스트레일리아,더 엔트랜스,1736
오스트레일리아,스레드보,1162
오스트레일리아,서스데이 섬,1737
오스트레일리아,티부버라,1738
오스트레일리아,톰 프라이스,1260
오스트레일리아,터움바,502
오스트레일리아,토론토,1739
오스트레일리아,타운즈빌,321
오스트레일리아,투게라농,1312
오스트레일리아,툴라마린,517
오스트레일리아,터낵,1826
오스트레일리아,트위드 헤드,1740
오스트레일리아,울버스톤,1741
오스트레일리아,빅터 하버,503
오스트레일리아,웨이드아이 ,1742
오스트레일리아,와가 와가,504
오스트레일리아,월센드,1743
오스트레일리아,월페업 ,1744
오스트레일리아,왕가라타,505
오스트레일리아,와라,1827
오스트레일리아,워라닉빌,1745
오스트레일리아,워남불,506
오스트레일리아,워릭,507
오스트레일리아,왓소니아,516
오스트레일리아,위으루아나,1746
오스트레일리아,와이트마크,1747
오스트레일리아,화이앨러,508
오스트레일리아,윌선스 프로몬토리,1748
오스트레일리아,윈턴,509
오스트레일리아,울런공,318
오스트레일리아,원타키,510
오스트레일리아,우머라,511
오스트레일리아,우디나,1217
오스트레일리아,윈덤,1212
오스트레일리아,윈야드,1749
오스트레일리아,야라 글렌,512
오스트레일리아,야라웡가,1750
오스트레일리아,야쓰,1751
오스트레일리아,옙푼,513
오스트레일리아,영,1321
오스트레일리아,유엔두무,1752
오스트레일리아,율라라,514
오스트레일리아,지한,1828
오스트리아,인스브루크,905
오스트리아,클라겐푸르트,904
오스트리아,비엔나,17
아제르바이잔,바쿠,18
아제르바이잔,간자,19
아제르바이잔,렌카란,20
바하마,프리포트,1633
바하마,이나구아,1634
바하마,나소,97
바레인,바레인/마나마,220
방글라데시,바리살,1168
방글라데시,치타 공,1164
방글라데시,다카,1163
방글라데시,쿨나,1167
방글라데시,라즈 샤히,1166
방글라데시,실렛,1165
벨라루스,민스크,205
벨기에,브뤼셀,191
벨기에,클라이네 브로겔,945
벨기에,오스텐트,944
벨기에,세인트 허버트,946
벨기에,비르통,947
벨리즈,벨리즈 시티,148
벨리즈,벨모판 시,1087
베냉,보이콩,2209
베냉,코토 누,259
베냉,칸디,2210
베냉,케루,2211
베냉,나티팅구,2212
베냉,우이다,2213
베냉,파라쿠,2214
베냉,폴가,2215
베냉,포르토노보,2216
베냉,사베,2217
부탄,부가 온,2954
부탄,붐탕,1275
부탄,몬가르,1276
부탄,파로,1273
부탄,삼츠,2955
부탄,팀부,2956
부탄,트라시강,2957
부탄,왕디 포드랑,1274
보스니아헤르체고비나,바냐루카,16
보스니아헤르체고비나,모스타르,14
보스니아헤르체고비나,사라예보,13
보스니아헤르체고비나,투즐라,15
